fund_id,region_id,allocation_percent
fund_001,region_007,100
fund_002,region_019,50
fund_002,region_025,25
fund_003,region_012,100
fund_004,region_004,50
fund_005,region_006,50
fund_006,region_010,75
fund_006,region_011,75
fund_006,region_003,100
fund_007,region_004,25
fund_007,region_021,50
fund_007,region_006,100
fund_008,region_006,75
fund_008,region_022,100
fund_009,region_007,50
fund_010,region_020,75
fund_010,region_007,100
fund_010,region_016,75
fund_011,region_022,75
fund_011,region_015,50
fund_011,region_014,25
fund_012,region_011,50
fund_013,region_007,100
fund_013,region_022,25
fund_014,region_016,75
fund_014,region_004,100
fund_015,region_003,75
fund_016,region_007,100
fund_016,region_003,50
fund_016,region_009,25
fund_017,region_009,25
fund_018,region_012,50
fund_018,region_008,100
fund_019,region_008,75
fund_020,region_016,75
fund_020,region_001,25
fund_020,region_014,75
fund_021,region_011,50
fund_021,region_003,50
fund_022,region_012,50
fund_022,region_022,25
fund_023,region_022,50
fund_024,region_013,100
fund_025,region_009,75
fund_026,region_010,75
fund_026,region_008,100
fund_026,region_019,50
fund_027,region_012,25
fund_027,region_006,25
fund_027,region_017,75
fund_028,region_017,100
fund_028,region_022,100
fund_029,region_009,25
fund_029,region_021,50
fund_030,region_002,25
fund_030,region_019,100
fund_031,region_019,75
fund_031,region_018,50
fund_032,region_009,50
fund_032,region_002,50
fund_032,region_013,100
fund_033,region_006,25
fund_033,region_022,25
fund_033,region_011,50
fund_034,region_021,50
fund_034,region_019,50
fund_035,region_012,50
fund_035,region_023,75
fund_036,region_024,75
fund_036,region_019,25
fund_036,region_013,75
fund_037,region_011,75
fund_038,region_011,75
fund_039,region_025,25
fund_039,region_023,50
fund_039,region_013,50
fund_040,region_021,75
fund_041,region_008,25
fund_041,region_006,25
fund_041,region_003,25
fund_042,region_005,75
fund_043,region_017,50
fund_043,region_005,100
fund_043,region_022,25
fund_044,region_022,75
fund_044,region_014,75
fund_045,region_001,50
fund_045,region_012,100
