company_id,sector_id,allocation_percent
pc_001,sector_017,100
pc_002,sector_018,100
pc_003,sector_004,100
pc_004,sector_017,100
pc_005,sector_004,100
pc_006,sector_013,100
pc_007,sector_009,100
pc_008,sector_003,100
pc_009,sector_015,100
pc_010,sector_017,100
pc_011,sector_011,100
pc_012,sector_010,100
pc_013,sector_007,100
pc_014,sector_002,100
pc_015,sector_016,100
pc_016,sector_006,100
pc_017,sector_008,100
pc_018,sector_012,100
pc_019,sector_013,100
pc_020,sector_011,100
pc_021,sector_020,100
pc_022,sector_017,100
pc_023,sector_013,100
pc_024,sector_004,100
pc_025,sector_007,100
pc_026,sector_003,100
pc_027,sector_013,100
pc_028,sector_006,100
pc_029,sector_005,100
pc_030,sector_008,100
pc_031,sector_007,100
pc_032,sector_004,100
pc_033,sector_008,100
pc_034,sector_017,100
pc_035,sector_015,100
pc_036,sector_008,100
pc_037,sector_005,100
pc_038,sector_012,100
pc_039,sector_017,100
pc_040,sector_003,100
pc_041,sector_004,100
pc_042,sector_009,100
pc_043,sector_016,100
pc_044,sector_010,100
pc_045,sector_020,100
pc_046,sector_008,100
pc_047,sector_017,100
pc_048,sector_004,100
pc_049,sector_014,100
pc_050,sector_018,100
