transaction_id,company_id,acquisition_date,ownership_percent
2024-I2573-2880,pc_001,2024-01-01,51
2024-I3048-2904,pc_002,2024-01-01,51
2024-I3049-2905,pc_003,2024-01-01,80
2024-I3035-2888,pc_004,2024-01-01,75
2024-I3038-2891,pc_005,2024-01-01,75
2024-I2892-3100,pc_006,2024-01-01,75
2024-I2875-3088,pc_007,2024-01-01,51
2024-I2901-3115,pc_008,2024-01-01,100
2024-I2920-3130,pc_009,2024-01-01,51
2024-I2935-3145,pc_010,2024-01-01,100
2024-I2950-3160,pc_011,2024-01-01,90
2024-I2965-3175,pc_012,2024-01-01,51
2024-I2980-3190,pc_013,2024-01-01,51
2024-I2995-3205,pc_014,2024-01-01,51
2024-I3010-3220,pc_015,2024-01-01,75
2024-I3025-3235,pc_016,2024-01-01,75
2024-I3040-3250,pc_017,2024-01-01,100
2024-I3055-3265,pc_018,2024-01-01,100
2024-I3070-3280,pc_019,2024-01-01,51
2024-I3085-3295,pc_020,2024-01-01,100
2024-I3100-3310,pc_021,2024-01-01,75
2024-I3115-3325,pc_022,2024-01-01,100
2024-I3130-3340,pc_023,2024-01-01,90
2024-I3145-3355,pc_024,2024-01-01,75
2024-I3160-3370,pc_025,2024-01-01,90
2024-I3175-3385,pc_026,2024-01-01,100
2024-I3190-3400,pc_027,2024-01-01,80
2024-I3205-3415,pc_028,2024-01-01,51
2024-I3220-3430,pc_029,2024-01-01,75
2024-I3235-3445,pc_030,2024-01-01,90
2024-I3250-3460,pc_031,2024-01-01,80
2024-I3265-3475,pc_032,2024-01-01,80
2024-I3280-3490,pc_033,2024-01-01,75
2024-I3295-3505,pc_034,2024-01-01,75
2024-I3310-3520,pc_035,2024-01-01,80
2024-I3325-3535,pc_036,2024-01-01,51
2024-I3340-3550,pc_037,2024-01-01,51
2024-I3355-3565,pc_038,2024-01-01,90
2024-I3370-3580,pc_039,2024-01-01,51
2024-I3385-3595,pc_040,2024-01-01,80
2024-I3400-3610,pc_041,2024-01-01,80
2024-I3415-3625,pc_042,2024-01-01,100
2024-I3430-3640,pc_043,2024-01-01,80
2024-I3445-3655,pc_044,2024-01-01,51
2024-I3460-3670,pc_045,2024-01-01,90
2024-I3475-3685,pc_046,2024-01-01,100
2024-I3490-3700,pc_047,2024-01-01,51
2024-I3505-3715,pc_048,2024-01-01,90
2024-I3520-3730,pc_049,2024-01-01,51
2024-I3535-3745,pc_050,2024-01-01,100
