company_id,asset_id,ownership_start_date,ownership_percent,management_control
company_001,ia_001,2024-06-01,100,Full
company_001,ia_002,2024-06-01,100,Full
company_002,ia_003,2024-03-01,100,Full
company_003,ia_004,2024-10-01,100,Full
company_003,ia_005,2024-10-01,100,Full
company_004,ia_006,2024-02-01,100,Full
company_005,ia_007,2024-07-01,100,Full
company_006,ia_008,2024-05-01,100,Full
company_007,ia_009,2024-01-01,100,Full
company_007,ia_010,2024-01-01,100,Full
company_008,ia_011,2024-09-01,100,Full
company_008,ia_012,2024-09-01,100,Full
company_009,ia_013,2024-04-01,100,Full
company_010,ia_014,2023-11-01,100,Full
company_011,ia_015,2023-12-01,100,Full
company_012,ia_016,2024-08-01,100,Full
company_013,ia_017,2023-10-01,100,Full
company_014,ia_018,2024-03-01,100,Full
company_015,ia_019,2023-09-01,100,Full
company_016,ia_020,2024-05-01,100,Full
company_017,ia_021,2024-06-01,100,Full
company_018,ia_022,2024-02-01,100,Full
company_019,ia_023,2024-07-01,100,Full
company_020,ia_024,2024-04-01,100,Full
company_020,ia_025,2024-04-01,100,Full
