agent_id,fund_id,engagement_date,target_raise_millions,success_fee_percent
pa_001,fund_036,2021-04-01,1000,2.0
pa_001,fund_011,2022-03-01,1000,2.0
pa_001,fund_030,2017-11-01,1000,2.0
pa_002,fund_018,2018-06-01,1000,2.0
pa_002,fund_015,2022-07-01,1000,2.0
pa_002,fund_012,2023-04-01,1000,2.0
pa_003,fund_015,2022-07-01,1000,2.0
pa_003,fund_028,2021-08-01,1000,2.0
pa_003,fund_037,2023-06-01,1000,2.0
pa_004,fund_032,2022-02-01,1000,2.0
pa_004,fund_028,2021-08-01,1000,2.0
pa_005,fund_010,2022-05-01,1000,2.0
pa_005,fund_044,2019-01-01,1000,2.0
pa_005,fund_033,2021-05-01,1000,2.0
pa_006,fund_007,2022-12-01,1000,2.0
pa_006,fund_023,2006-01-01,1000,2.0
pa_007,fund_028,2021-08-01,1000,2.0
pa_007,fund_002,2024-06-01,1000,2.0
pa_007,fund_019,2020-01-01,1000,2.0
pa_008,fund_045,2020-01-01,1000,2.0
pa_008,fund_019,2020-01-01,1000,2.0
pa_008,fund_016,2017-04-01,1000,2.0
pa_009,fund_018,2018-06-01,1000,2.0
pa_009,fund_030,2017-11-01,1000,2.0
pa_009,fund_033,2021-05-01,1000,2.0
pa_010,fund_025,2019-07-01,1000,2.0
pa_010,fund_036,2021-04-01,1000,2.0
pa_010,fund_040,2023-03-01,1000,2.0
pa_011,fund_030,2017-11-01,1000,2.0
pa_011,fund_010,2022-05-01,1000,2.0
pa_012,fund_022,2019-02-01,1000,2.0
pa_012,fund_008,2022-04-01,1000,2.0
pa_012,fund_023,2006-01-01,1000,2.0
pa_013,fund_015,2022-07-01,1000,2.0
pa_013,fund_001,2022-11-01,1000,2.0
pa_014,fund_028,2021-08-01,1000,2.0
pa_014,fund_035,2020-12-01,1000,2.0
pa_014,fund_016,2017-04-01,1000,2.0
pa_015,fund_004,2023-03-01,1000,2.0
pa_015,fund_020,2019-08-01,1000,2.0
pa_015,fund_030,2017-11-01,1000,2.0
