consultant_id,lp_id,service_type,engagement_start,annual_fee
ic_001,lp_005,Strategic Advisory,2020-01-01,100000
ic_001,lp_023,Portfolio Construction,2020-01-01,500000
ic_001,lp_025,Strategic Advisory,2020-01-01,100000
ic_001,lp_013,Risk Management,2020-01-01,750000
ic_002,lp_004,Strategic Advisory,2020-01-01,750000
ic_002,lp_028,Manager Selection,2020-01-01,500000
ic_002,lp_017,Risk Management,2020-01-01,250000
ic_002,lp_005,Strategic Advisory,2020-01-01,750000
ic_002,lp_020,Strategic Advisory,2020-01-01,500000
ic_003,lp_010,Strategic Advisory,2020-01-01,250000
ic_003,lp_016,Strategic Advisory,2020-01-01,250000
ic_003,lp_021,Risk Management,2020-01-01,750000
ic_003,lp_022,Manager Selection,2020-01-01,500000
ic_003,lp_017,Portfolio Construction,2020-01-01,500000
ic_004,lp_004,Risk Management,2020-01-01,500000
ic_004,lp_013,Strategic Advisory,2020-01-01,500000
ic_004,lp_012,Strategic Advisory,2020-01-01,500000
ic_004,lp_015,Strategic Advisory,2020-01-01,750000
ic_005,lp_010,Portfolio Construction,2020-01-01,250000
ic_005,lp_027,Portfolio Construction,2020-01-01,100000
ic_005,lp_016,Manager Selection,2020-01-01,500000
ic_005,lp_024,Portfolio Construction,2020-01-01,750000
ic_006,lp_010,Strategic Advisory,2020-01-01,500000
ic_006,lp_021,Risk Management,2020-01-01,500000
ic_006,lp_027,Manager Selection,2020-01-01,100000
ic_007,lp_008,Risk Management,2020-01-01,500000
ic_007,lp_011,Strategic Advisory,2020-01-01,500000
ic_007,lp_017,Portfolio Construction,2020-01-01,250000
ic_007,lp_014,Manager Selection,2020-01-01,500000
ic_007,lp_028,Risk Management,2020-01-01,250000
ic_008,lp_003,Manager Selection,2020-01-01,250000
ic_008,lp_006,Strategic Advisory,2020-01-01,500000
ic_008,lp_017,Strategic Advisory,2020-01-01,100000
ic_009,lp_010,Portfolio Construction,2020-01-01,250000
ic_009,lp_012,Risk Management,2020-01-01,250000
ic_009,lp_013,Manager Selection,2020-01-01,250000
ic_009,lp_002,Manager Selection,2020-01-01,750000
ic_009,lp_008,Strategic Advisory,2020-01-01,750000
ic_010,lp_015,Manager Selection,2020-01-01,750000
ic_010,lp_020,Portfolio Construction,2020-01-01,750000
ic_010,lp_012,Manager Selection,2020-01-01,250000
ic_010,lp_030,Portfolio Construction,2020-01-01,750000
ic_011,lp_024,Portfolio Construction,2020-01-01,750000
ic_011,lp_015,Risk Management,2020-01-01,500000
ic_011,lp_010,Risk Management,2020-01-01,750000
ic_012,lp_015,Manager Selection,2020-01-01,250000
ic_012,lp_018,Portfolio Construction,2020-01-01,100000
ic_012,lp_001,Risk Management,2020-01-01,500000
ic_013,lp_008,Strategic Advisory,2020-01-01,100000
ic_013,lp_001,Portfolio Construction,2020-01-01,100000
ic_013,lp_027,Manager Selection,2020-01-01,500000
ic_013,lp_025,Risk Management,2020-01-01,250000
ic_013,lp_030,Risk Management,2020-01-01,100000
ic_014,lp_022,Risk Management,2020-01-01,500000
ic_014,lp_006,Strategic Advisory,2020-01-01,750000
ic_014,lp_020,Strategic Advisory,2020-01-01,750000
ic_015,lp_025,Portfolio Construction,2020-01-01,250000
ic_015,lp_011,Risk Management,2020-01-01,100000
ic_015,lp_026,Portfolio Construction,2020-01-01,250000
ic_015,lp_007,Strategic Advisory,2020-01-01,500000
ic_015,lp_006,Strategic Advisory,2020-01-01,500000
